course_name,course_code,description,learning_objectives,level,faculty,program,url
Nuclear Architecture,NB4100,"The cell nucleus is a storage and reading device for the genetic information where also information on cell fate decisions is
stored in the form of switches that turn genes on or off. For example, cellular decisions such as differentiation from a stem cell
into a different cell type, but also pathologies like the uncontrolled cell division of cancer cells leave their mark on the genome in
the form of characteristic binding of transcriptional regulators and histone modifications.
In this course we will discuss:
(cid:9)Functions of the main nuclear components (DNA, RNA, nucleoli, bodies and speckles, nuclear membrane)
(cid:9)How is the genetic information organized in the cell nucleus (from histones to higher order chromatin organisation, special DNA
regions like centromeres and telomeres)?
(cid:9)How is chromatin manipulated by regulators, like remodelers and transcription factors, to activate and silence genes?
(cid:9)How does the nuclear interior communicate with the cytoplasm (nuclear pores and nuclear transport)?
(cid:9)Key methods to study nuclear processes
For a preview of the course content you can find links to Youtube animations in the course content section on Brightspace.","Learning goals of the course:
- You will be able to describe the basic principles of gene regulation, chromatin organization and chromatin re-organizing
processes.
- You will be able to relate the functions of different nuclear components (for example the nuclear lamina) with gene regulation.
- You will be able to describe the basic principles of nuclear transport.
- You will be able to explain which role phase separation might play for nuclear processes.
- You will be able to describe at least one human pathogenic condition that is related to structural malfunctions in the cell
nucleus.
- You will be able to interpret experimental results obtained with methods and technologies to study nuclear processes and be
able to select appropriate techniques to address questions around the major principles discussed.
- You will improve your skills to critical evaluate scientific literature and discuss your evaluation in the class.",Master,Applied Sciences,Master Nanobiology,
Geometry of Physics,NB4110,"In this advanced elective the aim is to provide students with the necessary mathematical tools from tensor calculus and
differential geometry to be able to describe physical systems where geometry is important. Two important applications are
(bio)membranes as two-dimensional surfaces living in three-dimensional space, and the four-dimensional spacetime of general
relativity. This is a 'reading course', meaning that the students study the relevant material by themselves, work on the associated
problems together, and meet once a week with the instructor to discuss their progress and ask any questions they have.","At the completion of this course, the students will be able to:
- Explain what tensors are, and use them in calculations, both in index notation and index-free form.
Describe the geometry of objects in any dimension with the curvature tensor.
Explain where the various terms in the Canham-Helfrich energy of the biological membrane come from, and use this energy to
calculate membrane shapes.
Explain where the various terms in the Einstein equation of general relativity come from, and use this equation to calculate the
geodesics of stars and black holes.
Use the large-scale description of the universe to discuss its possible evolution scenarios.",Master,Applied Sciences,Master Nanobiology,
Biological Networks; a data driven approach to discovery and,NB4120,"The concept of networks is broad and general, and it describes how things are connected to each other. Networks are present in
every aspect of life. In this course the students will learn the essential aspects of networking, and how to apply them to biological
data. This includes visualization and discovery in protein, signal transduction and genetic networks, and use these networks to
compare them to biological or clinical behavior, such as drug response or patient's survival.
Topics covered are network theory, network metrics, use of deep learning networks and chemical reaction circuit design and
simulation.
Computational tools include Python, Cytoscape with various plugins to analyze large data sets and R packages.
Course will run for two months with one session of 3 hours per week. In each session, students will present the result of their
previous week's network analysis. After that, an introductory lecture is given, followed by a computer practical, which is
continued as assignment.","In this course the students will learn the essential aspects of networking, and how to apply them to biological data. This includes
visualization and discovery in protein, signal transduction and genetic networks, deep learning, network design and use these
networks to compare them to biological or clinical behavior, such as drug response or patient's survival.",Master,Applied Sciences,Master Nanobiology,
The Origin and Synthesis of Life,NB4150,"Course not taught in 2022-2023, may be permanently cancelled.
Part 1: Introduction
- Historical survey and the many definitions of life
- Conceptual frameworks of research on the origin and synthesis of life
- Main scenarios for the emergence of cellular life
- Basics on the structure and organization of cells
Part2: From prebiotic chemistry to self-replication
- Early Earth geochemistry
- Prebiotic synthesis of ribonucleotides, amino acids and lipids
- Self-organization, self-assembly
- Autocatalysis and self-replication
- Assembly of (bio)chemical reaction networks
Part3: Protocells
- Chemistry and physics of primitive membranes
- Models of protocells
- The RNA World and the RNA protocell
- Emergence and biological complexity
Part4: Minimal cell and synthetic cell
- Engineering minimal cells, bottom-up vs top-down
- Scaffolds for a synthetic cell
- Cell-free gene expression
- In vitro evolution
- Social and ethical issues of proto- and artificial cells","To have knowledge about prebiotic processes, self-organization, autocatalysis, compartmentalization, as well as their mutual
interactions and possible implications in the transition to life.
To be able to formulate the pros and cons of the different existing scenarios for the emergence of complex biomolecules and
protocells.
To be able to formulate the main challenges towards the realization of a synthetic cell and to propose possible solutions.
To understand international research literature related to the theory covered.
To be able to write a summary of the studied article(s) as well as a critical discussion and possible follow-up research.
To present a research paper from the recent literature in a clear and interesting manner, meeting the requirements of scientific
communication.
To answer questions and provide detailed argumentation about the article(s) presented as indicated above.",Master,Applied Sciences,Master Applied Physics,
The Origin and Synthesis of Life,NB4150,"Course not taught in 2022-2023, may be permanently cancelled.
Part 1: Introduction
- Historical survey and the many definitions of life
- Conceptual frameworks of research on the origin and synthesis of life
- Main scenarios for the emergence of cellular life
- Basics on the structure and organization of cells
Part2: From prebiotic chemistry to self-replication
- Early Earth geochemistry
- Prebiotic synthesis of ribonucleotides, amino acids and lipids
- Self-organization, self-assembly
- Autocatalysis and self-replication
- Assembly of (bio)chemical reaction networks
Part3: Protocells
- Chemistry and physics of primitive membranes
- Models of protocells
- The RNA World and the RNA protocell
- Emergence and biological complexity
Part4: Minimal cell and synthetic cell
- Engineering minimal cells, bottom-up vs top-down
- Scaffolds for a synthetic cell
- Cell-free gene expression
- In vitro evolution
- Social and ethical issues of proto- and artificial cells","To have knowledge about prebiotic processes, self-organization, autocatalysis, compartmentalization, as well as their mutual
interactions and possible implications in the transition to life.
To be able to formulate the pros and cons of the different existing scenarios for the emergence of complex biomolecules and
protocells.
To be able to formulate the main challenges towards the realization of a synthetic cell and to propose possible solutions.
To understand international research literature related to the theory covered.
To be able to write a summary of the studied article(s) as well as a critical discussion and possible follow-up research.
To present a research paper from the recent literature in a clear and interesting manner, meeting the requirements of scientific
communication.
To answer questions and provide detailed argumentation about the article(s) presented as indicated above.",Master,Applied Sciences,Master Nanobiology,
Engineering of living systems,NB4160,"Even the simplest organism is more complex than the most sophisticated man-made device. How did biological evolution build
such intricate machines, and could we build such organisms ourselves? In this course, we will examine how to engineer the
properties of existing organisms. In doing so, we will consider the both the successes and failures of modern synthetic biology in
its efforts to apply general engineering principles to biology. Through lectures and interactive discussion of recent research
articles, we will develop an integrated view of biological behavior, evolution, and the state-of-the-art of bio-engineering.
We will explore how we can use modern genetic engineering tools to engineer the properties of organisms. We will study basic
tools and advanced synthetic-biology approaches that can be used to engineer biological solutions for real-world problems. A
background in biology will be appropriate preparation for participating students.
Throughout the course you will get the opportunity to study, present, and discuss recent articles from the scientific literature on
cutting-edge discoveries and techniques. Specific topics include: real-time experimental evolution, the modern genetic toolbox,
feedback control and logic gates, design properties and construction principles of synthetic biology circuits and networks, and
the debugging and optimization of engineered networks.","By the end of the course, students will be able to:
-Summarize how living systems work in terms of structural and functional concepts at multiple levels of biological organization.
-Identify why living systems are engineerable.
-Describe the limitations of the use of engineering approaches learned from other fields when applied to biology.
-Apply design principles to create new biological functions.
-Improve and debug the results of genetic engineering by utilizing specific genetic and evolutionary principles.
-Critically evaluate literature papers in the fields of synthetic biology.
-Assess the social and safety implications of genetic engineering and directed evolution projects.
-Engage in constructive scientific discussions",Master,Applied Sciences,Master Applied Physics,
Engineering of living systems,NB4160,"Even the simplest organism is more complex than the most sophisticated man-made device. How did biological evolution build
such intricate machines, and could we build such organisms ourselves? In this course, we will examine how to engineer the
properties of existing organisms. In doing so, we will consider the both the successes and failures of modern synthetic biology in
its efforts to apply general engineering principles to biology. Through lectures and interactive discussion of recent research
articles, we will develop an integrated view of biological behavior, evolution, and the state-of-the-art of bio-engineering.
We will explore how we can use modern genetic engineering tools to engineer the properties of organisms. We will study basic
tools and advanced synthetic-biology approaches that can be used to engineer biological solutions for real-world problems. A
background in biology will be appropriate preparation for participating students.
Throughout the course you will get the opportunity to study, present, and discuss recent articles from the scientific literature on
cutting-edge discoveries and techniques. Specific topics include: real-time experimental evolution, the modern genetic toolbox,
feedback control and logic gates, design properties and construction principles of synthetic biology circuits and networks, and
the debugging and optimization of engineered networks.","By the end of the course, students will be able to:
-Summarize how living systems work in terms of structural and functional concepts at multiple levels of biological organization.
-Identify why living systems are engineerable.
-Describe the limitations of the use of engineering approaches learned from other fields when applied to biology.
-Apply design principles to create new biological functions.
-Improve and debug the results of genetic engineering by utilizing specific genetic and evolutionary principles.
-Critically evaluate literature papers in the fields of synthetic biology.
-Assess the social and safety implications of genetic engineering and directed evolution projects.
-Engage in constructive scientific discussions",Master,Applied Sciences,Master Nanobiology,
Molecular Virology & Immunology,NB4165,"The importance of viruses for the evolution of life is paramount. The recent pandemic caused my SARS-Cov-2 has underlined
the impact viruses can have on all areas of human society. In this course we will discuss the principles that viruses employ to
infect bacteria, archaea and eukaryotes. We will discuss how viruses evolve and look at the main mechanisms of immune
defense of hosts, including CRISPR-Cas, adaptive immunity and RNAi. We will discuss bacterial, archaeal and eukaryotic
viruses through a series of lectures, worksessions and group presentations. We will invite leading virologists to bring in cutting
edge insights into virus biology.","At the completion of this course, the students will be able to:
(cid:9)Give an overview of how various viruses infect their hosts
(cid:9)Explain molecular mechanisms involved in distinct steps in virus reproduction/life cycles, such as virus attachment, entry,
replication
(cid:9)Explain molecular mechanisms of host immunity and immune evasion by viruses
(cid:9)Critically select, review, discuss and present research papers in virology
(cid:9)Formulate relevant research questions in virology",Master,Applied Sciences,Master Nanobiology,
Proposal Development Part 1,NB4510,"This course is connected to course NB4520. Together both courses focus on different aspects of developing a research project,
such as a literature review, presenting ideas and results and writing a project proposal.","The study goals of each module of this course are:
Research toolbox - skills development module:
1. Reflect on what it means to do scientific research with integrity and recognize signs of scientific misconduct
2. Explain how scientific funding works and learn the basics of what is expected when applying for research funding
3. To create awareness about proper data management
4. To create awareness about valorization and the role of the technology transfer office
5. To perform proper literature searches as well as keeping a bibliographic database",Master,Applied Sciences,Master Nanobiology,
Proposal Development Part 2,NB4520,"This course is connected to course NB4510. Together both courses focus on different aspects of developing a research project,
such as a literature review, presenting ideas and results and writing a project proposal.","The study goals of each module of this course are:
Research presentations module:
At the end of this course module, the student will be able to:
1.(cid:9)Design a scientific presentation for a specific audience.
2.(cid:9)Prepare an oral script and visual aids for a presentation for a specific time duration.
3.(cid:9)Organize new ideas or summarize a scientific topic in a concise and informative presentation.
4.(cid:9)Deliver an oral presentation on a chosen topic appropriate to a specified audience.
5.(cid:9)Provide constructive feedback on presentation content and style to peers.
6.(cid:9)Reflect on their own presentation skills and identify strengths and areas of improvement",Master,Applied Sciences,Master Nanobiology,
Seminars,NB5015,"At the beginning of this course in Q1 there will be 3 in person sessions. Attendance is highly encouraged but not mandatory.
Session 1:
Introductions and expectations, how to find seminars, form groups, what should be included in a report.
Session 2:
A faculty seminar on a nanobiology topic
Session 3:
Share and discuss the seminar reports from session 2.
Attend seminars and write seminar reports on your own schedule for the rest.",To develop skills in gathering information and knowledge from the attendance of scientific seminars.,Master,Applied Sciences,Master Nanobiology,
Seminars,NB5015,"At the beginning of this course in Q1 there will be 3 in person sessions. Attendance is highly encouraged but not mandatory.
Session 1:
Introductions and expectations, how to find seminars, form groups, what should be included in a report.
Session 2:
A faculty seminar on a nanobiology topic
Session 3:
Share and discuss the seminar reports from session 2.
Attend seminars and write seminar reports on your own schedule for the rest.",To develop skills in gathering information and knowledge from the attendance of scientific seminars.,Master,Applied Sciences,Master Nanobiology,
Literature Review Report,NB5020,"You will write an insightful essay/short review on a specific topic within the field of Nanobiology. You can contact a member of
the Nanobiology faculty on the green list to discuss an appropriate topic and receive literature suggestions on the topic. Your
MEP supervisor can supervise this writing assignment and is likely the best choice.","To learn how to gather literature on a chosen topic, to extract relevant information, and to report your findings in a written mini-
review.
At the completion of this course the student will be able to:
1. Collect scientific literature on a specific topic and evaluate its usefulness.
2. Extract information relevant to a specific topic from a body of scientific literature.
3. Organize information into a short review understandable to a general science audience
4. Prepare a short review according to a given format, including referencing style and preparation of display items (if used) in the
same manner expected for publishing such a review.",Master,Applied Sciences,Master Nanobiology,
Project Proposal Writing,NB5030,"This course is connected to your Master End Project. please note that you need a Master End Project subject before you can start
this course (It is not necessary that you already started your MEP project). This course will be taught for the last time in Q1-Q2
(September -December) of 2022-2023.
In regular course meetings you are educated on how to write a scientific proposal. You will develop a first draft of your own
research proposal, describing the plan of work for the one-year period leading to the MSc thesis. The written research proposal
will be prepared together with, and approved by, your research supervisor.
This plan, agreed upon by both student and faculty, will be the basis for your research work leading to the MSc Nanobiology
degree.
The research proposal should describe the plan of work for a full period of research. This will include: Title, Summary, Specific
Aims, Introduction, Experimental Plan, and Reference list (including figures as appropriate). These parts will be written in a step
-wise manner. At each stage, the written parts will be evaluated by faculty on specific elements of scientific writing, as well as
content, and revised accordingly. Students will also review and evaluate the completed proposals of two of their peers to provide
comments, during a discussion session, before the final revision. The final proposal follows a template with word count
limitations and will probably be in the range of 6-10 pages long.
Deadlines for submitting the course proposal are in Brightspace. Please enroll in the course as soon as possible, but at the latest 2
weeks before the start of the course, and complete the assignment: MEP project title+supervisor+location (title can be a draft
title).","Upon completion of this course you will be able to:
Find relevant scientific literature and summarize it in comprehensible and structured written scientific English to provide
background information on the topic to be studied in your Nanobiology Master research project (NB5900)
To clearly and convincingly state the main scientific question, and specific objectives, that will be addressed
To identify and advertise the innovative aspects of the research project in written form
Describe a realistic experimental approach and time plan to answer the research question.
Identify and convincingly describe the possible knowledge utilisation aspects of the expected results of the research project
Combine all the above products into a complete research project proposal such as those prepared in order to obtain funds from
granting agencies.
To critically evaluate such a proposal from peers and propose improvement during an evaluation meeting
To constructively incorporate feedback to improve the scientific proposal",Master,Applied Sciences,Master Nanobiology,
Research Presentation,NB5040,"To advance and broaden skills in oral presentations you will prepare and present a 15-20 minute talk. You can choose to present
your research project progress. Alternatively you can choose to try out a different style of presentation such a proposing a new
research project, a business plan using your NB skills or others arranged in consultation with the instructor. A research project
presentation should include a brief introduction to the project, some information on specific experiments, details on methods,
controls, and actual data, and a conclusion with a brief statement on the results obtained. The content and aim of a different style
presentation are agreed on ahead of time between the student and instructor.
Giving presentations on-line is a newly valuable skill, attention to and opportunity to practice on-line presentations is now added
to this course.","At the end of this course the student will be able to:
1. Organize experimental data, or new ideas, in a concise and informative presentation.
2. Prepare oral script and visual aids for a presentation of a specific time duration.
3. Deliver an oral presentation on a chosen topic appropriate to a specified audience.
4. Effectively communicate experimental results, or logical arguments in an oral presentation.
5. Design a presentation for a specific audience.
6. Provide constructive feedback on presentation content and style to peers",Master,Applied Sciences,Master Nanobiology,
Master End Project Nanobiology,NB5900,"NB5900 Master End Project is for students who began the Nanobiology programme in academic year 2021-2022 or earlier. New
curriculum beginning in 2022-2023 will lead to a different Master End Project course code (NB5942) with different project
development courses.
The Master End Project (MEP) is usually conducted in the second year of the MSc. It will take approximately 10 months, and is
conducted in a host research laboratory of your choice from the Nanobiology GreenList. Projects outside the GreenList require
Board of Examiner approval. The research project comprises 44 ECTS and includes writing a Masters thesis, presenting the
work and defending it orally.
This MEP is connected to the Master course Project Proposal Writing (NB5030). Please note that you have to follow this course
at the start of your MEP or from the moment that you have a Master End Project subject (for NB5030 it is not necessary that you
already started your MEP). This course will be available in fall of 2022 for the last time.
During your MEP, you work as a member of a research group and collaborate with other students, PhD students, postdocs,
technicians and group leaders. You will be working on a specific research topic of your choice, doing experiments, simulations,
or theoretical work, and generating new ideas for further research. You are expected to implement the knowledge from the
Bachelor and Master phase and apply that knowledge to the research subject. If the research project is outside the Erasmus MC
or TU Delft, you need to have both an internal (green list) and external supervisor.
The research project is concluded by submission and defense of the MSc thesis. The thesis will take the form of a full-length
research article, suitable for publication in an international journal. In contrast to a regular article manuscript, the MSc thesis will
include a more elaborate introduction, describing the scientific background of the study, and the methods section will be
expanded to include a complete and detailed description of all methods that have been applied. The MSc thesis should
demonstrate the ability of the student to organize and present results and knowledge in a form required for publication of a
scientific article.
The defense of the thesis will take about 30 minutes, and will be preceded by a public presentation (of also roughly 30 minutes)
on the aim, results and conclusions of the thesis work.","To obtain practical experience in laboratory or theoretical research, to collect scientific data, to practice communication skills,
master research techniques, and further develop scientific thinking and reasoning.",Master,Applied Sciences,Master Nanobiology,
Independent Research,NB5910,Interdisciplinary independent research on current topics with scientific or societal relevance.,"At the end of the project, students will have learned to:
- develop feasible research questions
- apply innovative methods to the address these questions
- communicate about scientific work in an effective way
- write reports about their findings",Master,Applied Sciences,Master Nanobiology,
Master End Project Nanobiology,NB5942,"The Master End Project (MEP) is usually conducted in the second year of the MSc. It will take approximately 8 months, and is
conducted in a research group on the Nanobiology GreenList. The research project comprises 42 ECTS and includes writing a
Masters thesis, presenting the work and defending it orally.
During your MEP, you work as a member of a research group and collaborate with other students, PhD students, postdocs,
technicians and group leaders. You will be working on a specific research topic of your choice, doing experiments, simulations,
or theoretical work, and generating new ideas for further research. You are expected to implement the knowledge from the
Bachelor and Master phase and apply that knowledge to the research subject. If the research project is outside the Nanobiology
programme GreenList, you need to have both an internal (GreenList) and external supervisor. Projects outside the GreenList
must be approved by the Board of Examiners prior to beginning.
The research project is concluded by submission and defense of the MSc thesis. The thesis will take the form of a full-length
research article, suitable for publication in an international journal. In contrast to a regular article manuscript, the MSc thesis will
include a more elaborate introduction, describing the scientific background of the study, and the methods section will be
expanded to include a complete and detailed description of all methods that have been applied. The MSc thesis should
demonstrate the ability of the student to organize and present results and knowledge in a form required for publication of a
scientific article.
The defense of the thesis will take about 30 minutes, and will be preceded by a public presentation (of also roughly 30 minutes)
on the aim, results and conclusions of the thesis work.
Course Contents A research project can be followed with a supervisor on the Nanobiology GreenList that can be found on the Brightspace page of
Continuation the Thesis office Applied Science. With approval from the Board of Examiners, students may apply to do a project outside the
Nanobiology programme.
When planning research projects, students must do either their MEP or their Broadening Research Project internal to the
Nanobiology programme, they can do both. Please see the programme page for Broadening Research Projects to see which
allowed projects are considered internal and other rules about the projects.","To obtain practical experience in laboratory or theoretical research, to collect scientific data, to practice communication skills,
master research techniques, and further develop scientific thinking and reasoning.",Master,Applied Sciences,Master Nanobiology,
Master End Project Nanobiology,NB5942,"The Master End Project (MEP) is usually conducted in the second year of the MSc. It will take approximately 8 months, and is
conducted in a research group on the Nanobiology GreenList. The research project comprises 42 ECTS and includes writing a
Masters thesis, presenting the work and defending it orally.
During your MEP, you work as a member of a research group and collaborate with other students, PhD students, postdocs,
technicians and group leaders. You will be working on a specific research topic of your choice, doing experiments, simulations,
or theoretical work, and generating new ideas for further research. You are expected to implement the knowledge from the
Bachelor and Master phase and apply that knowledge to the research subject. If the research project is outside the Nanobiology
programme GreenList, you need to have both an internal (GreenList) and external supervisor. Projects outside the GreenList
must be approved by the Board of Examiners prior to beginning.
The research project is concluded by submission and defense of the MSc thesis. The thesis will take the form of a full-length
research article, suitable for publication in an international journal. In contrast to a regular article manuscript, the MSc thesis will
include a more elaborate introduction, describing the scientific background of the study, and the methods section will be
expanded to include a complete and detailed description of all methods that have been applied. The MSc thesis should
demonstrate the ability of the student to organize and present results and knowledge in a form required for publication of a
scientific article.
The defense of the thesis will take about 30 minutes, and will be preceded by a public presentation (of also roughly 30 minutes)
on the aim, results and conclusions of the thesis work.
Course Contents A research project can be followed with a supervisor on the Nanobiology GreenList that can be found on the Brightspace page of
Continuation the Thesis office Applied Science. With approval from the Board of Examiners, students may apply to do a project outside the
Nanobiology programme.
When planning research projects, students must do either their MEP or their Broadening Research Project internal to the
Nanobiology programme, they can do both. Please see the programme page for Broadening Research Projects to see which
allowed projects are considered internal and other rules about the projects.","To obtain practical experience in laboratory or theoretical research, to collect scientific data, to practice communication skills,
master research techniques, and further develop scientific thinking and reasoning.",Master,Applied Sciences,Master Nanobiology,
Offshore Renewable Energy,OE44076,"This course will introduce the students to the technical aspects and detailed understanding of ocean energy technologies (wave,
tidal current and ocean thermal energy OTEC). The course combines lectures on offshore renewable energy technologies, CO2
and energy storage. The students will participate in a realistic project teamwork with young industry coaches and working on
actual cases with stakeholder and risk management assessment, modelling and energy extraction analysis from the offshore
environment, including an overview of the project development of safe and reliable offshore energy technologies.","by successfully completing the course you should be able to:
(cid:9)Explain and describe the physical principles of energy conversion for wave energy, tidal stream and OTEC.
(cid:9)Compare different marine renewable energy sources based on calculations of their energy content. A few examples of such
sources include ocean waves, tidal currents and temperature difference of the ocean.
(cid:9)Identify and evaluate the design considerations and technical challenges of wave and tidal energy technologies.
(cid:9)Generate future-proof solutions for offshore energy projects with a focus on minimization of the CO2 footprint.
(cid:9)Define technical, political, contractual, economic and operational constrains imposed on industrial projects throughout its entire
life cycle.
(cid:9)Explain the crucial importance of uncertainties and economics in the decision process in the course of developing a project.
(cid:9)Apply basic project analysis and management techniques.
(cid:9)Accommodate conflicting requirements in an offshore design environment.",Master,"Electrical Engineering, Mathematics and Computer Science",Master Sustainable Energy Technology (SET),
Robot Software Practicals,RO47003,"This course teaches students the basics for creating and collaborating on academic robotics software. It aims to give students
sufficient knowledge and experience such that they can proceed learning more about robotics programming by themselves as
needed. The course does this by providing an overview of key technologies, and letting students develop basic skills often used
in real world robotic software development. The main objective is to obtain hands-on experience - beginners level - with Linux,
Git & Gitlab, C++, ROS, and integrate with common external libraries such as OpenCV and PCL. This course does not teach
new robotics theory (e.g. perception, planning, control, etc.) which is covered in other courses.
The allotted 5 ECTS means that students are expected to invest approximately 11 hours/week outside of contact hours. Be aware
that active participation in all the lab and peer-review assignments is required, hence it is not recommended to do this course if
you cannot commit to a regular time investment over the whole education period.
Course Contents Linux: Although Windows is the most prevalent operating system on desktop PCs, Linux became very popular for embedded
Continuation systems such as robots. Developing for embedded Linux systems is most easily done in Linux itself, and this course aims to
familiarize students with the use of Linux on the desktop and terminal. It includes the following topics: OS architecture, File
system, Shell, Scripting.
Git/gitlab: All exercises will be submitted using Git, a widely used version control system to manage and collaborate on coding
projects. During the course, students will practice basic tasks with git, such as solving code conflicts, and merging the work of
lab partners. Using an issue tracker and giving constructive feedback to peers is also an important aspect that will be practiced.
C++: C++ is one of the most relevant programming languages for robotics. Being an object oriented language brings great
advantages compared to its predecessor C. This practical gives students practical knowledge on C++ programming. The course
encompasses the following topics: Introduction to C++, common compilation tools, basic programming in C++, classes and
objects.
ROS: The Robot Operating System (ROS) is a flexible framework for writing robot software. It is a collection of tools, libraries,
and conventions that aim to simplify the task of creating complex and robust robot behaviour across a wide variety of robotic
platforms. During the course, students will learn to use existing ROS tools, create their own software components in C++,
integrate them into an application, and test their solutions using a physics simulator.
others: You will also get some practice using external libraries in your robotics project, such as OpenCV or PCL. OpenCV is a
computer vision library designed for computational efficiency and with a strong focus on real-time applications. The Point Cloud
Library (PCL) is an open-source project for point cloud processing. Note that this course is *not* about understanding the
methods or theory on which these libraries are based, but rather on integrating the provided functionality in novel software
components.","---------------------------------------
Knowledge, insight, judgment and skills
---------------------------------------
After completing this course, students will be able to
1. use the command line on a Linux system, perform basic file operations and job management tasks, and automate tasks with
shell scripts;
2. use Git to commit and integrate incremental code changes together with a lab partner, and resolve any code integration
conflicts;
3. use a Gitlab server to exchange code changes, and use its issue tracker to provide and receive feedback on each other's code;
4. solve programming tasks in C++, compile the code using Make, debug compile-time, link-time and run-time problems;
5. create new C++ ROS packages, use common ROS development tools, and utilize the ROS API in their C++ programs;
6. investigate and integrate external libraries into their own ROS components, such as OpenCV or PCL;
7. add code comments and basic documentation to their code, find and interpret documentation of external libraries;
-------------------------------------
Transferable and interpersonal skills
-------------------------------------
8. develop evaluative judgments on the quality of your own work and of the performance of others (including peers) by
implementing and providing feedback;
9. collaborate and coordinate with lab partner on coding tasks.",Master,Architecture and the Built Environment,Master Geomatics,
Robot Software Practicals,RO47003,"This course teaches students the basics for creating and collaborating on academic robotics software. It aims to give students
sufficient knowledge and experience such that they can proceed learning more about robotics programming by themselves as
needed. The course does this by providing an overview of key technologies, and letting students develop basic skills often used
in real world robotic software development. The main objective is to obtain hands-on experience - beginners level - with Linux,
Git & Gitlab, C++, ROS, and integrate with common external libraries such as OpenCV and PCL. This course does not teach
new robotics theory (e.g. perception, planning, control, etc.) which is covered in other courses.
The allotted 5 ECTS means that students are expected to invest approximately 11 hours/week outside of contact hours. Be aware
that active participation in all the lab and peer-review assignments is required, hence it is not recommended to do this course if
you cannot commit to a regular time investment over the whole education period.
Course Contents Linux: Although Windows is the most prevalent operating system on desktop PCs, Linux became very popular for embedded
Continuation systems such as robots. Developing for embedded Linux systems is most easily done in Linux itself, and this course aims to
familiarize students with the use of Linux on the desktop and terminal. It includes the following topics: OS architecture, File
system, Shell, Scripting.
Git/gitlab: All exercises will be submitted using Git, a widely used version control system to manage and collaborate on coding
projects. During the course, students will practice basic tasks with git, such as solving code conflicts, and merging the work of
lab partners. Using an issue tracker and giving constructive feedback to peers is also an important aspect that will be practiced.
C++: C++ is one of the most relevant programming languages for robotics. Being an object oriented language brings great
advantages compared to its predecessor C. This practical gives students practical knowledge on C++ programming. The course
encompasses the following topics: Introduction to C++, common compilation tools, basic programming in C++, classes and
objects.
ROS: The Robot Operating System (ROS) is a flexible framework for writing robot software. It is a collection of tools, libraries,
and conventions that aim to simplify the task of creating complex and robust robot behaviour across a wide variety of robotic
platforms. During the course, students will learn to use existing ROS tools, create their own software components in C++,
integrate them into an application, and test their solutions using a physics simulator.
others: You will also get some practice using external libraries in your robotics project, such as OpenCV or PCL. OpenCV is a
computer vision library designed for computational efficiency and with a strong focus on real-time applications. The Point Cloud
Library (PCL) is an open-source project for point cloud processing. Note that this course is *not* about understanding the
methods or theory on which these libraries are based, but rather on integrating the provided functionality in novel software
components.","---------------------------------------
Knowledge, insight, judgment and skills
---------------------------------------
After completing this course, students will be able to
1. use the command line on a Linux system, perform basic file operations and job management tasks, and automate tasks with
shell scripts;
2. use Git to commit and integrate incremental code changes together with a lab partner, and resolve any code integration
conflicts;
3. use a Gitlab server to exchange code changes, and use its issue tracker to provide and receive feedback on each other's code;
4. solve programming tasks in C++, compile the code using Make, debug compile-time, link-time and run-time problems;
5. create new C++ ROS packages, use common ROS development tools, and utilize the ROS API in their C++ programs;
6. investigate and integrate external libraries into their own ROS components, such as OpenCV or PCL;
7. add code comments and basic documentation to their code, find and interpret documentation of external libraries;
-------------------------------------
Transferable and interpersonal skills
-------------------------------------
8. develop evaluative judgments on the quality of your own work and of the performance of others (including peers) by
implementing and providing feedback;
9. collaborate and coordinate with lab partner on coding tasks.",Master,Architecture and the Built Environment,Master Geomatics,
Human Factors of Automated Driving,RO47016,"Content in detail
Introduction
(cid:9)SAE automation levels
(cid:9)From manual to supervisory control (monitoring), delegated control and driverless operation
(cid:9)Road safety
The evolution from manual to automated driving Part I Longitudinal Control
(cid:9)Human behaviour in car following versus (Adaptive) Cruise Control
(cid:9)Human braking versus Automated Emergency Braking
The evolution from manual to automated driving Part II Lateral Control
(cid:9)Human path following versus Lane Keeping Assistance & Automated Steering
(cid:9)Assisted lane changes and merging
Driver vehicle interaction in highly automated driving Part I
(cid:9)Situation awareness
(cid:9)Workload & Vigilance
(cid:9)Driver State Monitoring
Driver vehicle interaction in highly automated driving Part II
(cid:9)Driver Performance in Take Over Requests
(cid:9)Human machine interfaces
Motion Comfort & Acceptance
(cid:9)Comfort and motion sickness
(cid:9)Ability to perform non-driving tasks
(cid:9)Trust in automation and perceived safety
Ergonomic design of the vehicle cockpit (Prof Peter Vink Industrial Design)
(cid:9)Seating, vision and reach of instruments
(cid:9)Vehicle cockpits for automated driving
Biomechanical modelling
(cid:9)Human response in emergency and impact conditions
(cid:9)Modelling seat to head transmission of vehicle vibrations
(cid:9)Modelling motion comfort
Several lectures will be used for students to present their team assignments.","After completing this course, students will be able to:
(cid:9)describe and analyse the interaction of drivers and users of automated vehicles, with their vehicles
(cid:9)contribute to the design of vehicle automation with a focus on human factors
(cid:9)express your own vision on the role of the driver/user in future vehicles",Master,Civil Engineering and Geosciences,"Master Transport, Infrastructure & Logistics",
